,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions,Rain (inches last hour),Snow (inches last hour)
328,Puerto Madero,MX,14.72,-92.42,77.0,100,75,3.36,broken clouds,0,0
329,Tabanan,ID,-8.54,115.13,78.8,100,75,9.17,broken clouds,0,0
330,Marzuq,YE,14.4,46.47,80.76,48,72,5.41,broken clouds,0,0
331,Kirkland Lake,CA,48.14,-80.04,69.8,73,1,4.7,clear sky,0,0
332,Tanggu,CN,39.02,117.65,78.8,57,44,6.71,scattered clouds,0,0
333,Maumere,ID,-8.62,122.21,82.08,68,97,6.29,overcast clouds,0,0
334,Uyuni,BO,-20.46,-66.83,34.32,62,0,10.13,clear sky,0,0
335,Babahoyo,EC,-1.82,-79.52,73.99,83,77,12.75,broken clouds,0,0
336,Cabedelo,BR,-6.98,-34.83,76.05,84,0,7.85,light rain,0.45,0
337,Solok,ID,-0.79,100.66,85.68,56,55,1.16,broken clouds,0,0
338,Nelson Bay,AU,-32.72,152.15,62.6,59,75,3.36,broken clouds,0,0
339,Coquimbo,CL,-29.95,-71.34,55.4,82,100,10.29,overcast clouds,0,0
340,Lata,PT,40.16,-8.33,64.99,95,47,1.01,scattered clouds,0,0
341,Eregli,TR,37.51,34.05,64.22,67,0,0.92,clear sky,0,0
342,Touba,CI,8.28,-7.68,70.79,95,70,7.05,broken clouds,0,0
343,Amnat Charoen,TH,15.86,104.63,88.54,57,3,8.81,clear sky,0,0
344,Charters Towers,AU,-20.1,146.27,71.29,59,59,11.83,broken clouds,0,0
345,Makakilo City,US,21.35,-158.09,86.0,69,75,9.17,broken clouds,0,0
346,Mercedes,AR,-34.65,-59.43,46.0,95,99,1.99,overcast clouds,0,0
347,Padang,ID,-0.95,100.35,85.37,65,28,2.48,scattered clouds,0,0
348,Giddarbaha,IN,30.2,74.67,101.05,33,11,7.36,few clouds,0,0
349,Boende,CD,-0.22,20.87,71.35,96,75,2.35,light rain,0.79,0
350,Tezu,IN,27.92,96.17,78.46,76,86,2.15,overcast clouds,0,0
351,Tsimlyansk,RU,47.65,42.1,68.41,61,41,8.59,scattered clouds,0,0
352,Zhigansk,RU,66.77,123.37,72.68,42,7,19.22,clear sky,0,0
353,Paris,FR,48.85,2.35,61.0,72,75,9.17,broken clouds,0,0
354,Eyl,SO,7.98,49.82,81.0,68,18,24.02,few clouds,0,0
355,Faanui,PF,-16.48,-151.75,76.05,76,100,23.89,overcast clouds,0,0
356,Saint George,US,37.1,-113.58,90.0,21,1,18.34,clear sky,0,0
357,Firminy,FR,45.39,4.29,62.6,88,24,3.36,few clouds,0,0
358,Waipawa,NZ,-41.41,175.52,50.0,76,100,21.92,light rain,0.52,0
359,Sorland,NO,67.67,12.69,52.77,83,57,19.35,broken clouds,0,0
360,Mehamn,NO,71.04,27.85,42.8,75,40,4.7,scattered clouds,0,0
361,Anchorage,US,61.22,-149.9,59.0,50,90,6.93,overcast clouds,0,0
362,Quatre Cocos,MU,-20.21,57.76,69.01,87,2,3.0,clear sky,0,0
363,Keansburg,US,40.44,-74.13,75.0,87,7,8.37,clear sky,0,0
364,Lebedinyy,RU,58.52,125.52,75.74,32,3,8.75,clear sky,0,0
365,Blanquefort,FR,44.91,-0.64,64.4,88,20,5.82,few clouds,0,0
366,Souillac,MU,-20.52,57.52,69.01,87,6,3.0,light rain,0.13,0
367,Plastun,RU,44.76,136.29,59.31,77,100,4.5,overcast clouds,0,0
368,Sault Sainte Marie,CA,46.52,-84.33,64.4,72,1,3.36,clear sky,0,0
369,Fortuna,US,40.6,-124.16,57.99,76,75,14.99,broken clouds,0,0
370,Katherine,AU,-14.47,132.27,86.0,28,10,10.29,clear sky,0,0
371,Nanortalik,GL,60.14,-45.24,39.4,88,29,9.06,scattered clouds,0,0
372,Erenhot,CN,43.65,111.98,75.04,43,93,16.84,overcast clouds,0,0
373,Asekeyevo,RU,53.57,52.8,54.12,80,93,3.18,overcast clouds,0,0
374,Itabirito,BR,-20.25,-43.8,57.69,91,27,4.03,scattered clouds,0,0
375,Gua Musang,MY,4.88,101.96,86.56,63,63,3.15,broken clouds,0,0
376,Purpe,RU,64.48,76.69,57.0,91,100,28.66,light rain,0.68,0
377,Dryden,CA,49.78,-92.75,77.0,47,1,9.17,clear sky,0,0
378,Springfield,US,37.22,-93.3,81.0,69,1,10.29,clear sky,0,0
379,Plavinas,LV,56.62,25.73,63.34,84,17,1.48,few clouds,0,0
380,Lakheri,IN,25.67,76.17,96.48,41,0,12.97,clear sky,0,0
381,Talara,PE,-4.58,-81.27,64.42,87,12,13.22,few clouds,0,0
382,Xichang,CN,27.9,102.26,76.28,73,94,2.44,light rain,1,0
383,Havoysund,NO,71.0,24.66,42.8,81,75,19.46,broken clouds,0,0
384,Deming,US,32.27,-107.76,82.4,17,1,9.17,clear sky,0,0
385,Ambulu,ID,-8.35,113.61,82.44,69,27,6.98,scattered clouds,0,0
386,Comodoro Rivadavia,AR,-45.87,-67.5,39.2,93,75,2.24,light rain,0,0
387,Porto Santo,PT,33.07,-16.34,69.8,77,75,16.11,broken clouds,0,0
388,Gunnedah,AU,-30.98,150.25,62.6,45,0,3.36,clear sky,0,0
389,Atambua,ID,-9.11,124.89,82.13,55,100,2.77,overcast clouds,0,0
390,Sharjah,AE,25.36,55.4,89.6,74,4,4.7,haze,0,0
391,Kuytun,RU,54.34,101.5,67.19,79,79,12.44,broken clouds,0,0
392,Dingle,PH,11.0,122.67,85.55,66,100,3.24,overcast clouds,0,0
393,Tsuruoka,JP,38.72,139.82,69.8,73,75,6.93,broken clouds,0,0
394,Takoradi,GH,4.88,-1.76,76.06,89,100,10.69,light rain,0.25,0
395,Imbituba,BR,-28.24,-48.67,57.2,82,40,4.7,scattered clouds,0,0
396,Sandy Bay,AU,-42.91,147.35,55.4,66,20,9.17,few clouds,0,0
397,Necochea,AR,-38.55,-58.74,37.99,93,43,7.49,scattered clouds,0,0
398,Vung Tau,VN,10.35,107.08,82.44,76,100,6.51,light rain,0.13,0
399,Seymchan,RU,62.88,152.43,61.92,75,100,6.6,light rain,0.18,0
400,Hengshui,CN,37.73,115.7,84.63,51,19,8.95,few clouds,0,0
401,Randolph,US,35.7,-79.82,73.0,94,90,3.8,overcast clouds,0,0
402,Ozinki,RU,51.18,49.68,62.76,63,60,9.35,broken clouds,0,0
403,Pleasant Point,NZ,-44.27,171.13,50.0,91,99,2.37,overcast clouds,0,0
404,Kamenka,RU,51.32,42.77,64.99,90,100,1.99,light rain,0.23,0
405,Buchanan,LR,5.88,-10.05,76.8,86,96,10.47,light rain,0.12,0
406,Quelimane,MZ,-17.88,36.89,67.64,96,1,1.48,clear sky,0,0
407,Honiara,SB,-9.43,159.95,87.8,70,75,5.82,broken clouds,0,0
408,Ahipara,NZ,-35.17,173.17,57.83,78,91,17.34,light rain,0.53,0
409,Zanjan,IR,36.67,48.48,57.2,71,20,4.7,few clouds,0,0
410,Montijo,PT,38.71,-8.97,68.0,77,0,10.29,clear sky,0,0
411,Sisimiut,GL,66.94,-53.67,41.05,85,38,6.26,scattered clouds,0,0
412,Uglich,RU,57.53,38.33,49.26,75,0,5.32,clear sky,0,0
413,Passo De Camaragibe,BR,-9.24,-35.49,71.6,100,75,4.7,broken clouds,0,0
414,Sao Filipe,CV,14.9,-24.5,75.45,77,1,10.83,clear sky,0,0
415,Kasongo-Lunda,CD,-6.47,16.82,66.27,46,11,1.39,few clouds,0,0
416,Royan,FR,45.63,-1.03,60.8,93,75,5.82,broken clouds,0,0
417,Rioja,AR,-29.41,-66.85,47.07,57,64,2.42,broken clouds,0,0
418,Tres Arroyos,AR,-38.37,-60.28,37.2,80,35,7.16,scattered clouds,0,0
419,Reinosa,ES,43.0,-4.14,62.01,99,100,2.98,overcast clouds,0,0
420,Maniitsoq,GL,65.42,-52.9,40.98,89,99,11.1,overcast clouds,0,0
421,Mitsamiouli,KM,-11.38,43.28,77.99,69,5,2.86,clear sky,0,0
422,Gat,IL,31.61,34.76,73.0,90,6,5.79,clear sky,0,0
423,Rocky Mount,US,35.94,-77.79,78.01,78,1,4.99,clear sky,0,0
424,Goderich,CA,43.75,-81.72,66.0,84,0,7.72,clear sky,0,0
425,Hofn,IS,64.25,-15.21,52.47,74,100,17.38,light rain,0.17,0
426,Chongwe,ZM,-15.33,28.68,60.8,44,0,6.93,clear sky,0,0
427,Los Llanos De Aridane,ES,28.66,-17.92,71.6,78,75,17.22,broken clouds,0,0
428,Parabel,RU,58.7,81.48,64.08,53,77,17.65,broken clouds,0,0
429,Colon,PA,9.36,-79.9,79.0,88,100,3.0,overcast clouds,0,0
430,Seabra,BR,-12.42,-41.77,59.02,88,25,3.8,scattered clouds,0,0
431,Oyama,JP,36.3,139.8,84.99,57,75,8.05,broken clouds,0,0
432,Neepawa,CA,50.23,-99.47,68.0,94,90,20.8,thunderstorm with heavy rain,0,0
433,Road Town,VG,18.42,-64.62,80.01,89,100,5.01,overcast clouds,0,0
434,Takab,IR,36.4,47.11,63.19,53,0,1.48,clear sky,0,0
435,Pacific Grove,US,36.62,-121.92,59.0,67,90,13.87,overcast clouds,0,0
436,Sarangani,PH,5.4,125.46,81.66,72,99,3.13,overcast clouds,0,0
437,Anadyr,RU,64.75,177.48,48.2,57,20,17.9,shower rain,0,0
438,San Pedro De Macoris,DO,18.46,-69.3,78.01,83,75,4.7,broken clouds,0,0
439,Maragogi,BR,-9.01,-35.22,75.04,86,6,8.37,clear sky,0,0
440,Arinos,BR,-15.92,-46.11,68.81,54,49,1.97,scattered clouds,0,0
441,Matara,LK,5.95,80.54,84.13,77,20,11.63,few clouds,0,0
442,Jadu,LY,31.95,12.03,69.78,48,0,1.66,clear sky,0,0
443,Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,overcast clouds,0,0
444,Banjar,ID,-8.19,114.97,78.8,100,75,9.17,broken clouds,0,0
445,Ewo,CG,-0.87,14.82,77.7,65,57,6.38,broken clouds,0,0
446,Valparaiso,CL,-33.04,-71.63,57.2,76,90,9.17,overcast clouds,0,0
447,Ushibuka,JP,32.19,130.02,75.18,84,100,9.71,light rain,0.95,0
448,Reforma,MX,18.1,-91.02,81.21,65,11,10.74,few clouds,0,0
449,San Andres,CO,12.58,-81.7,82.4,83,75,11.41,broken clouds,0,0
450,Ullapool,GB,57.9,-5.16,53.01,92,100,3.0,heavy intensity rain,4.94,0
451,Whitecourt,CA,54.15,-115.69,53.6,87,75,5.82,broken clouds,0,0
452,Silver City,US,32.77,-108.28,77.0,17,1,8.05,clear sky,0,0
453,Lakatoro,VU,-16.1,167.42,80.6,88,75,5.82,broken clouds,0,0
454,Wahpeton,US,46.27,-96.61,77.0,65,96,11.41,overcast clouds,0,0
455,Benguela,AO,-12.58,13.41,66.2,84,2,3.15,clear sky,0,0
456,Bezdan,RS,45.85,18.93,66.2,93,0,2.33,clear sky,0,0
457,Umm Kaddadah,SD,13.6,26.69,87.1,43,94,13.27,overcast clouds,0,0
458,Ampanihy,MG,-24.7,44.75,61.66,88,0,4.79,clear sky,0,0
459,Basco,PH,20.45,121.97,84.78,79,97,14.27,overcast clouds,0,0
460,Kinshasa,CD,-4.32,15.32,73.4,78,20,3.67,few clouds,0,0
461,Moratuwa,LK,6.77,79.88,83.91,77,47,12.28,scattered clouds,0,0
462,Byron Bay,AU,-28.65,153.62,66.99,68,90,9.17,overcast clouds,0,0
463,Swan Hill,AU,-35.34,143.55,57.02,55,0,7.74,clear sky,0,0
464,Roma,US,43.21,-75.46,69.8,77,40,3.76,scattered clouds,0,0
465,Santa Maria Del Oro,MX,25.93,-105.37,71.53,50,99,5.99,overcast clouds,0,0
466,Kazanskaya,RU,45.41,40.44,63.37,73,0,4.43,clear sky,0,0
467,Gubkin,RU,51.28,37.55,63.93,91,84,4.92,broken clouds,0,0
468,Ossora,RU,59.24,163.07,59.38,61,84,9.1,broken clouds,0,0
469,Olafsvik,IS,64.89,-23.71,51.33,81,100,17.2,overcast clouds,0,0
470,Dong Hoi,VN,17.48,106.6,92.7,53,35,6.11,scattered clouds,0,0
471,Champerico,GT,14.3,-91.92,79.18,79,74,6.26,broken clouds,0,0
472,Arkhangelsk,RU,64.54,40.54,41.0,86,75,1.39,broken clouds,0,0
473,Nacala,MZ,-14.54,40.67,70.25,94,6,4.05,clear sky,0,0
474,Baykit,RU,61.67,96.37,72.66,62,100,6.17,light rain,0.12,0
475,Sitka,US,57.05,-135.33,53.6,81,90,4.7,overcast clouds,0,0
476,Satipo,PE,-11.25,-74.64,69.64,83,58,0.81,light rain,0.2,0
477,Ketchikan,US,55.34,-131.65,66.2,68,1,11.41,clear sky,0,0
478,Haldia,IN,22.06,88.11,87.93,67,100,5.44,overcast clouds,0,0
479,Araouane,ML,18.9,-3.53,89.74,32,3,10.07,clear sky,0,0
480,Quzhou,CN,28.96,118.87,86.81,68,100,9.91,overcast clouds,0,0
481,Tigil,RU,57.8,158.67,68.18,54,89,9.08,overcast clouds,0,0
482,At-Bashi,KG,41.17,75.81,51.8,42,0,1.54,clear sky,0,0
483,Shimoda,JP,34.67,138.95,80.6,61,40,10.29,scattered clouds,0,0
484,Grindavik,IS,63.84,-22.43,51.8,100,100,4.7,overcast clouds,0,0
485,Abu Dhabi,AE,24.47,54.37,88.0,89,22,3.36,few clouds,0,0
486,Wamba,NG,8.93,8.6,71.6,93,100,1.01,overcast clouds,0,0
487,Creel,MX,27.75,-107.63,55.44,90,1,6.11,light rain,0.22,0
488,Nhulunbuy,AU,-12.23,136.77,84.2,45,40,16.11,scattered clouds,0,0
489,Abasolo,MX,20.45,-101.52,68.0,68,90,4.12,overcast clouds,0,0
490,Mackenzie,CA,55.3,-123.17,68.0,40,1,6.93,clear sky,0,0
491,Kenai,US,60.55,-151.26,57.2,71,90,4.7,overcast clouds,0,0
492,Ghanzi,BW,-21.57,21.78,43.52,55,0,6.35,clear sky,0,0
493,Medvedka,RU,61.16,46.39,46.8,72,68,5.12,broken clouds,0,0
494,Milkovo,RU,54.72,158.62,76.33,42,1,2.06,clear sky,0,0
495,Solano,US,38.23,-121.95,73.4,52,1,18.34,clear sky,0,0
496,Payson,US,40.04,-111.73,63.0,59,75,31.09,broken clouds,0,0
497,Asuncion,PY,-25.3,-57.64,64.4,77,75,4.7,broken clouds,0,0
498,Lorengau,PG,-2.02,147.27,86.38,69,31,9.19,scattered clouds,0,0
499,Otukpo,NG,7.19,8.13,71.44,97,100,5.79,overcast clouds,0,0
500,Geraldton,AU,-28.77,114.6,68.0,64,75,20.8,broken clouds,0,0
501,West Bay,KY,19.37,-81.42,84.0,83,7,1.01,clear sky,0,0
502,Parthenay,FR,46.67,-0.42,57.0,92,71,3.0,broken clouds,0,0
503,Changying,CN,52.87,123.32,78.39,37,5,4.54,clear sky,0,0
504,Vanimo,PG,-2.67,141.3,85.89,65,95,5.68,light rain,0.48,0
505,Baruun-Urt,MN,46.68,113.28,75.74,48,100,9.95,light rain,0.56,0
506,Saint-Augustin,CA,51.23,-58.65,49.77,86,2,16.35,clear sky,0,0
507,Keti Bandar,PK,24.14,67.45,87.89,69,97,18.5,overcast clouds,0,0
508,Davidson,US,36.15,-86.78,77.0,83,40,3.36,scattered clouds,0,0
509,Garowe,SO,8.41,48.48,78.15,66,13,23.89,few clouds,0,0
510,La Seyne-Sur-Mer,FR,43.1,5.88,73.0,89,0,5.01,clear sky,0,0
511,Kitami,JP,43.8,143.89,61.0,72,75,8.05,broken clouds,0,0
512,Gamba,GA,-2.65,10.0,70.29,88,0,3.71,clear sky,0,0
513,Miandrivazo,MG,-19.52,45.47,69.64,66,13,1.88,few clouds,0,0
514,San Quintin,MX,30.48,-115.95,64.4,79,72,5.66,broken clouds,0,0
515,Boa Vista,BR,2.82,-60.67,78.8,83,75,3.36,broken clouds,0,0
516,Chara,RU,56.91,118.26,73.83,43,100,2.06,light rain,0.21,0
517,La Rioja,ES,42.25,-2.5,69.8,68,90,6.93,overcast clouds,0,0
518,Rincon,US,32.3,-81.24,84.2,66,1,5.82,clear sky,0,0
519,Irbeyskoye,RU,55.64,95.45,68.59,66,64,3.94,broken clouds,0,0
520,Yerbogachen,RU,61.28,108.01,80.47,38,8,7.85,clear sky,0,0
521,Ontario,US,34.06,-117.65,68.0,72,75,17.22,broken clouds,0,0
522,Chumikan,RU,54.72,135.31,51.66,74,3,11.41,clear sky,0,0
523,Coihaique,CL,-45.58,-72.07,32.0,95,90,3.36,light snow,0,0
524,Cachoeira Do Sul,BR,-30.04,-52.89,45.43,90,77,6.98,broken clouds,0,0
525,Vostok,RU,46.49,135.88,70.12,55,100,4.47,light rain,0.15,0
526,Greenville,US,35.61,-77.37,78.01,78,1,4.7,clear sky,0,0
527,Atar,MR,20.52,-13.05,92.32,13,0,12.15,clear sky,0,0
528,Boulder,US,40.08,-105.35,75.2,53,1,4.7,clear sky,0,0
529,Ust-Ilimsk,RU,58.0,102.66,80.67,36,100,4.88,overcast clouds,0,0
530,Iralaya,HN,15.0,-83.23,80.87,85,100,15.57,light rain,0.52,0
531,Hinche,HT,19.15,-72.02,80.6,69,50,10.29,scattered clouds,0,0
532,Jacmel,HT,18.23,-72.53,80.6,69,62,10.29,broken clouds,0,0
533,Lazaro Cardenas,MX,17.96,-102.2,80.26,82,20,4.27,few clouds,0,0
534,San Cristobal,VE,7.77,-72.22,65.34,84,100,1.86,overcast clouds,0,0
535,Ust-Kulom,RU,61.69,53.69,45.41,78,97,6.62,overcast clouds,0,0
536,Sambir,UA,49.52,23.2,63.0,84,6,5.19,clear sky,0,0
537,San Rafael,AR,-34.62,-68.33,41.99,66,24,1.48,few clouds,0,0
538,Fort Nelson,CA,58.81,-122.7,62.6,63,75,4.7,broken clouds,0,0
539,Alihe,CN,50.57,123.72,76.15,46,62,5.41,light rain,0.12,0
540,Palitana,IN,21.52,71.83,89.06,63,0,6.53,clear sky,0,0
541,Khani,GE,41.96,42.96,68.0,88,40,3.36,scattered clouds,0,0
542,Payo,ID,-3.75,103.64,86.02,59,0,4.21,clear sky,0,0
543,Mabaruma,GY,8.2,-59.78,73.94,95,14,2.48,few clouds,0,0
544,Pierre,US,44.37,-100.35,81.0,74,1,9.17,clear sky,0,0
545,Kailua,US,21.4,-157.74,86.0,48,75,17.22,broken clouds,0,0
546,San Jeronimo,PE,-11.95,-75.28,46.83,72,34,1.77,scattered clouds,0,0
547,Rio Grande,BR,-32.03,-52.1,51.01,66,0,5.61,clear sky,0,0
548,Aksu,CN,41.12,80.26,67.91,37,59,7.78,broken clouds,0,0
549,Palauig,PH,15.44,119.9,85.93,67,100,10.16,overcast clouds,0,0
550,Chernukha,RU,55.6,43.76,51.15,75,6,7.83,clear sky,0,0
551,Igrim,RU,63.19,64.42,51.58,59,100,10.54,overcast clouds,0,0
552,Sarakhs,IR,36.54,61.16,73.4,27,0,2.24,clear sky,0,0
553,Peterhead,GB,57.51,-1.8,53.6,93,75,11.41,broken clouds,0,0
554,Kurchum,KZ,48.57,83.65,66.76,35,100,6.31,overcast clouds,0,0
555,Biak,ID,-0.91,122.88,80.42,75,100,6.85,light rain,0.31,0
556,Letlhakane,BW,-21.42,25.58,48.4,44,0,7.58,clear sky,0,0
557,Lasa,IT,46.62,10.7,59.0,93,5,4.7,clear sky,0,0
558,Xianyang,CN,34.34,108.7,80.01,74,75,2.24,mist,0,0
559,Glazov,RU,58.14,52.66,46.9,79,63,6.13,broken clouds,0,0
560,Flinders,AU,-34.58,150.86,64.0,70,70,1.01,light rain,0.12,0
561,Barda,AZ,40.37,47.13,66.2,59,0,2.24,clear sky,0,0
562,Marystown,CA,47.17,-55.15,57.2,91,100,4.68,overcast clouds,0,0
563,Irbit,RU,57.67,63.07,50.0,94,100,10.25,overcast clouds,0,0
564,Thabazimbi,ZA,-24.59,27.41,47.17,50,0,4.21,clear sky,0,0
565,Umm Lajj,SA,25.02,37.27,82.83,49,13,6.42,few clouds,0,0
566,Tadpatri,IN,14.92,78.02,85.66,63,100,12.06,overcast clouds,0,0
567,Teror,ES,28.06,-15.55,71.6,73,75,24.16,broken clouds,0,0
568,Huarmey,PE,-10.07,-78.15,62.62,84,99,8.03,overcast clouds,0,0
569,Teya,RU,60.38,92.63,68.36,38,94,6.24,overcast clouds,0,0
